"Pixelated";6;False;False;1;0;1;1
32;81;33;1;9;1;0
33;103;33;1;7;2;0
34;84;33;3;3;4;0
35;19;2;5;7;5;-1
36;22;13;3;8;4;0
37;68;2;5;6;6;0
38;75;2;4;7;5;0
39;116;33;2;3;4;1
40;82;13;3;7;4;0
41;112;24;3;7;4;0
42;52;33;3;5;4;0
43;107;24;3;7;4;0
44;48;33;2;8;2;-1
45;43;33;3;6;4;0
46;106;33;1;7;2;0
47;33;2;5;7;6;0
48;27;24;3;7;4;0
49;72;13;3;7;4;0
50;57;24;3;7;4;0
51;67;13;3;7;4;0
52;117;2;4;7;5;0
53;27;13;3;7;4;0
54;62;13;3;7;4;0
55;42;13;3;7;4;0
56;62;24;3;7;4;0
57;32;24;3;7;4;0
58;97;33;1;7;2;0
59;77;33;2;7;2;-1
60;99;2;4;7;6;1
61;47;24;3;7;4;0
62;105;2;4;7;6;1
63;117;24;3;7;4;0
64;2;2;8;9;8;-1
65;97;13;3;7;4;0
66;77;13;3;7;4;0
67;107;13;3;7;4;0
68;22;33;3;7;4;0
69;97;24;3;7;4;0
70;37;24;3;7;4;0
71;92;13;3;7;4;0
72;72;24;3;7;4;0
73;52;13;3;7;4;0
74;117;13;3;7;4;0
75;77;24;3;7;4;0
76;42;24;3;7;4;0
77;40;2;5;7;6;0
78;87;2;4;7;5;0
79;93;2;4;7;5;0
80;22;24;3;7;4;0
81;12;2;5;7;6;0
82;17;24;3;7;4;0
83;92;24;3;7;4;0
84;7;24;3;7;4;0
85;52;24;3;7;4;0
86;17;33;3;7;4;0
87;61;2;5;7;6;0
88;47;13;3;7;4;0
89;87;24;3;7;4;0
90;12;33;3;7;4;0
91;73;33;2;7;4;1
92;54;2;5;7;6;0
93;57;33;2;7;3;0
94;89;33;3;3;4;0
95;111;2;4;7;5;0
96;112;33;2;3;4;1
97;82;24;3;7;4;0
98;7;33;3;7;4;0
99;57;13;3;7;4;0
100;122;24;3;7;4;0
101;102;13;3;7;4;0
102;81;2;4;7;4;-1
103;7;13;3;9;4;0
104;102;24;3;7;4;0
105;109;33;1;7;2;0
106;39;33;2;9;3;0
107;2;33;3;7;4;0
108;94;33;1;7;2;0
109;26;2;5;7;6;0
110;122;13;3;7;4;0
111;37;13;3;7;4;0
112;12;13;3;9;4;0
113;17;13;3;9;4;0
114;69;33;2;7;3;0
115;65;33;2;7;3;0
116;87;13;3;7;4;0
117;67;24;3;7;4;0
118;112;13;3;7;4;0
119;47;2;5;7;6;0
120;32;13;3;7;4;0
121;2;13;3;9;4;0
122;61;33;2;7;3;0
123;2;24;3;7;4;0
124;100;33;1;7;3;1
125;12;24;3;7;4;0
126;33;33;4;5;5;0
127;27;33;4;5;5;0
