"DOWNWELL";6;False;False;1;0;1;1
32;2;2;8;10;8;0
33;140;110;3;10;8;2
34;133;110;5;10;8;1
35;124;110;7;10;8;0
36;115;110;7;10;8;0
37;106;110;7;10;8;0
38;97;110;7;10;8;0
39;93;110;2;10;8;2
40;87;110;4;10;8;2
41;81;110;4;10;8;1
42;72;110;7;10;8;0
43;145;110;6;10;8;1
44;67;110;3;10;8;1
45;50;110;6;10;8;1
46;46;110;2;10;8;2
47;37;110;7;10;8;0
48;28;110;7;10;8;0
49;20;110;6;10;8;1
50;11;110;7;10;8;0
51;2;110;7;10;8;0
52;245;98;7;10;8;0
53;236;98;7;10;8;0
54;227;98;7;10;8;0
55;58;110;7;10;8;0
56;162;110;7;10;8;0
57;11;122;7;10;8;0
58;171;110;2;10;8;2
59;106;122;3;10;8;1
60;99;122;5;10;8;1
61;90;122;7;10;8;0
62;83;122;5;10;8;1
63;74;122;7;10;8;0
64;65;122;7;10;8;0
65;56;122;7;10;8;0
66;47;122;7;10;8;0
67;38;122;7;10;8;0
68;29;122;7;10;8;0
69;111;122;7;10;8;0
70;20;122;7;10;8;0
71;2;122;7;10;8;0
72;245;110;7;10;8;0
73;237;110;6;10;8;1
74;228;110;7;10;8;0
75;219;110;7;10;8;0
76;211;110;6;10;8;1
77;202;110;7;10;8;0
78;193;110;7;10;8;0
79;184;110;7;10;8;0
80;175;110;7;10;8;0
81;218;98;7;10;8;0
82;209;98;7;10;8;0
83;200;98;7;10;8;0
84;87;98;6;10;8;1
85;237;86;7;10;8;0
86;228;86;7;10;8;0
87;219;86;7;10;8;0
88;210;86;7;10;8;0
89;202;86;6;10;8;1
90;193;86;7;10;8;0
91;187;86;4;10;8;2
92;178;86;7;10;8;0
93;172;86;4;10;8;1
94;165;86;5;10;8;1
95;156;86;7;10;8;0
96;152;86;2;10;8;3
97;143;86;7;10;8;0
98;134;86;7;10;8;0
99;125;86;7;10;8;0
100;116;86;7;10;8;0
101;107;86;7;10;8;0
102;99;86;6;10;8;1
103;90;86;7;10;8;0
104;81;86;7;10;8;0
105;73;86;6;10;8;1
106;246;86;5;10;8;1
107;2;98;7;10;8;0
108;11;98;6;10;8;1
109;19;98;7;10;8;0
110;182;98;7;10;8;0
111;173;98;7;10;8;0
112;164;98;7;10;8;0
113;155;98;7;10;8;0
114;147;98;6;10;8;1
115;138;98;7;10;8;0
116;130;98;6;10;8;1
117;121;98;7;10;8;0
118;113;98;6;10;8;1
119;104;98;7;10;8;0
120;191;98;7;10;8;0
121;95;98;7;10;8;0
122;78;98;7;10;8;0
123;72;98;4;10;8;2
124;68;98;2;10;8;3
125;62;98;4;10;8;1
126;53;98;7;10;8;0
127;46;98;5;10;8;1
128;44;98;0;10;8;0
160;42;98;0;10;8;0
161;37;98;3;10;8;2
162;28;98;7;10;8;0
163;153;110;7;10;8;0
164;120;122;6;10;8;1
165;128;122;6;10;8;1
166;136;122;2;10;8;3
167;2;158;6;10;8;1
168;241;146;5;10;8;1
169;231;146;8;10;8;0
170;224;146;5;10;8;1
171;215;146;7;10;8;0
172;207;146;6;10;8;1
173;199;146;6;10;8;1
174;189;146;8;10;8;0
175;182;146;5;10;8;1
176;177;146;3;10;8;2
177;10;158;6;10;8;1
178;171;146;4;10;8;2
179;156;146;4;10;8;2
180;152;146;2;10;8;3
181;143;146;7;10;8;0
182;135;146;6;10;8;1
183;131;146;2;10;8;2
184;126;146;3;10;8;2
185;120;146;4;10;8;2
186;113;146;5;10;8;1
187;104;146;7;10;8;0
188;95;146;7;10;8;0
189;162;146;7;10;8;0
190;27;158;7;10;8;0
191;132;158;7;10;8;0
192;36;158;7;10;8;0
193;230;158;7;10;8;0
194;221;158;7;10;8;0
195;212;158;7;10;8;0
196;203;158;7;10;8;0
197;194;158;7;10;8;0
198;185;158;7;10;8;0
199;176;158;7;10;8;0
200;167;158;7;10;8;0
201;158;158;7;10;8;0
202;149;158;7;10;8;0
203;239;158;7;10;8;0
204;141;158;6;10;8;1
205;124;158;6;10;8;1
206;116;158;6;10;8;1
207;108;158;6;10;8;1
208;99;158;7;10;8;0
209;90;158;7;10;8;0
210;81;158;7;10;8;0
211;72;158;7;10;8;0
212;63;158;7;10;8;0
213;54;158;7;10;8;0
214;45;158;7;10;8;0
215;88;146;5;10;8;1
216;18;158;7;10;8;0
217;79;146;7;10;8;0
218;90;134;7;10;8;0
219;72;134;7;10;8;0
220;63;134;7;10;8;0
221;55;134;6;10;8;1
222;46;134;7;10;8;0
223;38;134;6;10;8;1
224;29;134;7;10;8;0
225;20;134;7;10;8;0
226;11;134;7;10;8;0
227;2;134;7;10;8;0
228;244;122;7;10;8;0
229;81;134;7;10;8;0
230;235;122;7;10;8;0
231;217;122;7;10;8;0
232;208;122;7;10;8;0
233;199;122;7;10;8;0
234;190;122;7;10;8;0
235;181;122;7;10;8;0
236;173;122;6;10;8;1
237;165;122;6;10;8;1
238;157;122;6;10;8;1
239;149;122;6;10;8;1
240;140;122;7;10;8;0
241;226;122;7;10;8;0
242;99;134;7;10;8;0
243;204;134;7;10;8;0
244;108;134;7;10;8;0
245;55;146;7;10;8;0
246;46;146;7;10;8;0
247;38;146;6;10;8;1
248;29;146;7;10;8;0
249;20;146;7;10;8;0
250;11;146;7;10;8;0
251;2;146;7;10;8;0
252;240;134;7;10;8;0
253;231;134;7;10;8;0
254;222;134;7;10;8;0
255;64;146;7;10;8;0
286;213;134;7;10;8;0
287;195;134;7;10;8;0
304;187;134;6;10;8;1
305;179;134;6;10;8;1
338;170;134;7;10;8;0
350;161;134;7;10;8;0
351;152;134;7;10;8;0
1040;143;134;7;10;8;0
1041;134;134;7;10;8;0
1042;125;134;7;10;8;0
1043;117;134;6;10;8;1
1044;63;86;8;10;8;0
1045;54;86;7;10;8;0
1046;45;86;7;10;8;0
1047;145;38;7;10;8;0
1048;147;26;7;10;8;0
1049;138;26;7;10;8;0
1050;129;26;7;10;8;0
1051;120;26;7;10;8;0
1052;111;26;7;10;8;0
1053;102;26;7;10;8;0
1054;93;26;7;10;8;0
1055;84;26;7;10;8;0
1056;75;26;7;10;8;0
1057;66;26;7;10;8;0
1058;156;26;6;10;8;1
1059;57;26;7;10;8;0
1060;38;26;7;10;8;0
1061;29;26;7;10;8;0
1062;20;26;7;10;8;0
1063;11;26;7;10;8;0
1064;2;26;7;10;8;0
1065;245;14;8;10;8;0
1066;236;14;7;10;8;0
1067;227;14;7;10;8;0
1068;218;14;7;10;8;0
1069;209;14;7;10;8;0
1070;47;26;8;10;8;0
1071;173;26;7;10;8;0
1072;29;38;7;10;8;0
1073;182;26;7;10;8;0
1074;127;38;7;10;8;0
1075;119;38;6;10;8;1
1076;110;38;7;10;8;0
1077;101;38;7;10;8;0
1078;92;38;7;10;8;0
1079;83;38;7;10;8;0
1080;74;38;7;10;8;0
1081;65;38;7;10;8;0
1082;56;38;7;10;8;0
1083;47;38;7;10;8;0
1084;136;38;7;10;8;0
1085;38;38;7;10;8;0
1086;20;38;7;10;8;0
1087;11;38;7;10;8;0
1088;2;38;7;10;8;0
1089;244;26;7;10;8;0
1090;236;26;6;10;8;1
1091;227;26;7;10;8;0
1092;218;26;7;10;8;0
1093;209;26;7;10;8;0
1094;200;26;7;10;8;0
1095;191;26;7;10;8;0
1096;200;14;7;10;8;0
1097;190;14;8;10;8;0
1098;181;14;7;10;8;0
1099;65;14;7;10;8;0
1100;184;2;7;10;8;0
1101;175;2;7;10;8;0
1102;165;2;8;10;8;0
1103;156;2;7;10;8;0
8211;147;2;7;10;8;0
8230;138;2;7;10;8;0
12288;136;2;0;10;8;0
12354;127;2;7;10;8;0
12356;118;2;7;10;8;0
12358;109;2;7;10;8;0
12360;100;2;7;10;8;0
12362;91;2;7;10;8;0
12363;82;2;7;10;8;0
12364;73;2;7;10;8;0
12365;64;2;7;10;8;0
12366;55;2;7;10;8;0
12367;48;2;5;10;8;0
12368;39;2;7;10;8;0
12369;30;2;7;10;8;0
12370;21;2;7;10;8;0
12371;12;2;7;10;8;0
12372;193;2;7;10;8;0
12373;202;2;7;10;8;0
12375;211;2;6;10;8;1
12376;219;2;6;10;8;1
12377;163;14;7;10;8;0
12378;154;14;7;10;8;0
12379;145;14;7;10;8;0
12380;136;14;7;10;8;0
12381;127;14;7;10;8;0
12382;118;14;7;10;8;0
12383;109;14;7;10;8;0
12384;100;14;7;10;8;0
12385;91;14;7;10;8;0
12387;83;14;6;10;8;0
12388;172;14;7;10;8;0
12389;74;14;7;10;8;0
12390;56;14;7;10;8;0
12391;47;14;7;10;8;0
12392;38;14;7;10;8;0
12393;29;14;7;10;8;0
12394;20;14;7;10;8;0
12395;11;14;7;10;8;0
12397;2;14;7;10;8;0
12398;245;2;7;10;8;0
12399;236;2;7;10;8;0
12400;227;2;7;10;8;0
12401;164;26;7;10;8;0
12402;154;38;7;10;8;0
12403;65;74;7;10;8;0
12405;163;38;7;10;8;0
12406;47;74;7;10;8;0
12408;38;74;7;10;8;0
12409;29;74;7;10;8;0
12411;20;74;7;10;8;0
12412;11;74;7;10;8;0
12413;2;74;7;10;8;0
12414;239;62;7;10;8;0
12415;230;62;7;10;8;0
12416;221;62;7;10;8;0
12417;212;62;7;10;8;0
12418;56;74;7;10;8;0
12419;204;62;6;10;8;0
12420;186;62;7;10;8;0
12421;178;62;6;10;8;0
12422;169;62;7;10;8;0
12423;162;62;5;10;8;0
12424;153;62;7;10;8;0
12425;144;62;7;10;8;0
12426;136;62;6;10;8;1
12427;127;62;7;10;8;0
12428;118;62;7;10;8;0
12429;109;62;7;10;8;0
12431;195;62;7;10;8;0
12434;74;74;7;10;8;0
12435;182;74;7;10;8;0
12450;83;74;7;10;8;0
12451;28;86;6;10;8;0
12452;19;86;7;10;8;0
12454;10;86;7;10;8;0
12455;2;86;6;10;8;0
12456;244;74;7;10;8;0
12457;236;74;6;10;8;0
12458;227;74;7;10;8;0
12459;218;74;7;10;8;0
12460;209;74;7;10;8;0
12461;200;74;7;10;8;0
12462;36;86;7;10;8;0
12463;191;74;7;10;8;0
12464;173;74;7;10;8;0
12465;164;74;7;10;8;0
12466;155;74;7;10;8;0
12467;146;74;7;10;8;0
12468;137;74;7;10;8;0
12469;128;74;7;10;8;0
12470;119;74;7;10;8;0
12471;110;74;7;10;8;0
12472;101;74;7;10;8;0
12473;92;74;7;10;8;0
12474;100;62;7;10;8;0
12475;91;62;7;10;8;0
12477;82;62;7;10;8;0
12479;221;50;7;10;8;0
12480;96;50;7;10;8;0
12481;87;50;7;10;8;0
12483;79;50;6;10;8;0
12484;70;50;7;10;8;0
12486;61;50;7;10;8;0
12487;52;50;7;10;8;0
12488;45;50;5;10;8;1
12489;37;50;6;10;8;1
12490;28;50;7;10;8;0
12491;19;50;7;10;8;0
12493;10;50;7;10;8;0
12494;2;50;6;10;8;1
12495;244;38;7;10;8;0
12496;235;38;7;10;8;0
12497;226;38;7;10;8;0
12499;217;38;7;10;8;0
12500;208;38;7;10;8;0
12501;199;38;7;10;8;0
12502;190;38;7;10;8;0
12503;181;38;7;10;8;0
12504;172;38;7;10;8;0
12505;105;50;7;10;8;0
12506;114;50;7;10;8;0
12507;123;50;7;10;8;0
12508;132;50;7;10;8;0
12509;64;62;7;10;8;0
12510;55;62;7;10;8;0
12511;46;62;7;10;8;0
12512;37;62;7;10;8;0
12513;28;62;7;10;8;0
12514;19;62;7;10;8;0
12515;11;62;6;10;8;0
12516;2;62;7;10;8;0
12517;246;50;6;10;8;0
12519;239;50;5;10;8;0
12520;73;62;7;10;8;0
12521;230;50;7;10;8;0
12522;213;50;6;10;8;1
12523;204;50;7;10;8;0
12524;195;50;7;10;8;0
12525;186;50;7;10;8;0
12527;177;50;7;10;8;0
12530;168;50;7;10;8;0
12531;159;50;7;10;8;0
12540;152;50;5;10;8;1
65281;147;50;3;10;8;2
65288;141;50;4;10;8;2
65289;73;146;4;10;8;1
65311;2;170;7;10;8;0
